"","date","datatype","GHCND:JA000047412","GHCND:USC00118740","GHCND:KSM00047101"
"1","2015-01-01T00:00:00",NA,NA,0,-37
"2","2015-01-02T00:00:00",NA,NA,39,-9
"3","2015-01-03T00:00:00",NA,NA,44,13
"4","2015-01-04T00:00:00",NA,NA,11,46
"5","2015-01-05T00:00:00",NA,NA,-106,38
"6","2015-01-06T00:00:00",NA,NA,-106,12
"7","2015-01-07T00:00:00",NA,NA,-111,-8
"8","2015-01-08T00:00:00",NA,NA,-44,2
"9","2015-01-09T00:00:00",NA,NA,-89,29
"10","2015-01-10T00:00:00",NA,NA,-50,43
"11","2015-01-11T00:00:00",NA,NA,0,38
"12","2015-01-12T00:00:00",NA,NA,0,32
"13","2015-01-13T00:00:00",NA,NA,-89,24
"14","2015-01-14T00:00:00",NA,NA,-72,29
"15","2015-01-15T00:00:00",NA,NA,28,76
"16","2015-01-16T00:00:00",NA,NA,33,23
"17","2015-01-17T00:00:00",NA,NA,83,13
"18","2015-01-18T00:00:00",NA,NA,67,NA
"19","2015-01-19T00:00:00",NA,NA,67,40
"20","2015-01-20T00:00:00",NA,NA,67,23
"21","2015-01-21T00:00:00",NA,NA,28,37
"22","2015-01-22T00:00:00",NA,NA,28,63
"23","2015-01-23T00:00:00",NA,NA,0,53
"24","2015-01-24T00:00:00",NA,NA,78,67
"25","2015-01-25T00:00:00",NA,NA,28,30
"26","2015-01-26T00:00:00",NA,NA,-17,47
"27","2015-01-27T00:00:00",NA,NA,-6,24
"28","2015-01-28T00:00:00",NA,NA,28,39
"29","2015-01-29T00:00:00",NA,NA,50,1
"30","2015-01-30T00:00:00",NA,NA,6,15
"31","2015-01-31T00:00:00",NA,NA,39,17
"32","2015-02-01T00:00:00",NA,NA,6,32
"33","2015-02-02T00:00:00",NA,NA,-78,51
"34","2015-02-03T00:00:00",NA,NA,22,68
"35","2015-02-04T00:00:00",NA,NA,11,46
"36","2015-02-05T00:00:00",NA,NA,-83,58
"37","2015-02-06T00:00:00",NA,NA,17,66
"38","2015-02-07T00:00:00",NA,NA,100,53
"39","2015-02-08T00:00:00",NA,NA,128,17
"40","2015-02-09T00:00:00",NA,NA,0,-6
"41","2015-02-10T00:00:00",NA,NA,28,53
"42","2015-02-11T00:00:00",NA,NA,22,82
"43","2015-02-12T00:00:00",NA,NA,-61,24
"44","2015-02-13T00:00:00",NA,NA,-17,45
"45","2015-02-14T00:00:00",NA,NA,-22,5
"46","2015-02-15T00:00:00",NA,NA,-72,120
"47","2015-02-16T00:00:00",NA,NA,-61,43
"48","2015-02-17T00:00:00",NA,NA,-11,44
"49","2015-02-18T00:00:00",NA,NA,-83,34
"50","2015-02-19T00:00:00",NA,NA,-122,68
"51","2015-02-20T00:00:00",NA,NA,-72,86
"52","2015-02-21T00:00:00",NA,NA,0,47
"53","2015-02-22T00:00:00",NA,NA,-17,91
"54","2015-02-23T00:00:00",NA,NA,-83,64
"55","2015-02-24T00:00:00",NA,NA,-17,77
"56","2015-02-25T00:00:00",NA,NA,0,115
"57","2015-02-26T00:00:00",NA,NA,-50,51
"58","2015-02-27T00:00:00",NA,NA,-83,35
"59","2015-02-28T00:00:00",NA,NA,-44,70
"60","2015-03-01T00:00:00",NA,NA,-22,56
"61","2015-03-02T00:00:00",NA,NA,-17,94
"62","2015-03-03T00:00:00",NA,NA,28,43
"63","2015-03-04T00:00:00",NA,NA,6,25
"64","2015-03-05T00:00:00",NA,NA,-89,53
"65","2015-03-06T00:00:00",NA,NA,-28,101
"66","2015-03-07T00:00:00",NA,NA,50,125
"67","2015-03-08T00:00:00",NA,NA,67,150
"68","2015-03-09T00:00:00",NA,NA,72,89
"69","2015-03-10T00:00:00",NA,NA,111,19
"70","2015-03-11T00:00:00",NA,NA,178,62
"71","2015-03-12T00:00:00","TMAX",27,156,75
"72","2015-03-13T00:00:00","TMAX",35,89,NA
"73","2015-03-14T00:00:00","TMAX",49,150,122
"74","2015-03-15T00:00:00","TMAX",57,183,135
"75","2015-03-16T00:00:00","TMAX",99,233,185
"76","2015-03-17T00:00:00","TMAX",118,122,153
"77","2015-03-18T00:00:00","TMAX",77,72,121
"78","2015-03-19T00:00:00","TMAX",97,111,216
"79","2015-03-20T00:00:00","TMAX",75,89,218
"80","2015-03-21T00:00:00","TMAX",101,161,189
"81","2015-03-22T00:00:00","TMAX",88,117,162
"82","2015-03-23T00:00:00","TMAX",52,28,112
"83","2015-03-24T00:00:00","TMAX",35,67,136
"84","2015-03-25T00:00:00","TMAX",49,89,153
"85","2015-03-26T00:00:00","TMAX",103,94,189
"86","2015-03-27T00:00:00","TMAX",149,22,189
"87","2015-03-28T00:00:00","TMAX",160,44,181
"88","2015-03-29T00:00:00","TMAX",163,94,198
"89","2015-03-30T00:00:00","TMAX",122,183,223
"90","2015-03-31T00:00:00","TMAX",120,183,158
"91","2015-04-01T00:00:00","TMAX",86,222,135
"92","2015-04-02T00:00:00","TMAX",137,222,205
"93","2015-04-03T00:00:00","TMAX",103,133,176
"94","2015-04-04T00:00:00","TMAX",109,150,167
"95","2015-04-05T00:00:00","TMAX",97,189,99
"96","2015-04-06T00:00:00","TMAX",123,167,168
"97","2015-04-07T00:00:00","TMAX",51,183,96
"98","2015-04-08T00:00:00","TMAX",58,239,138
"99","2015-04-09T00:00:00","TMAX",88,250,162
"100","2015-04-10T00:00:00","TMAX",91,194,199
"101","2015-04-11T00:00:00","TMAX",128,167,215
"102","2015-04-12T00:00:00","TMAX",127,189,207
"103","2015-04-13T00:00:00","TMAX",130,206,159
"104","2015-04-14T00:00:00","TMAX",188,189,74
"105","2015-04-15T00:00:00","TMAX",110,217,171
"106","2015-04-16T00:00:00","TMAX",84,211,115
"107","2015-04-17T00:00:00","TMAX",93,244,178
"108","2015-04-18T00:00:00","TMAX",153,261,240
"109","2015-04-19T00:00:00","TMAX",105,156,183
"110","2015-04-20T00:00:00","TMAX",101,133,148
"111","2015-04-21T00:00:00","TMAX",115,167,217
"112","2015-04-22T00:00:00","TMAX",186,117,215
"113","2015-04-23T00:00:00","TMAX",206,144,218
"114","2015-04-24T00:00:00","TMAX",148,161,235
"115","2015-04-25T00:00:00","TMAX",162,111,246
"116","2015-04-26T00:00:00","TMAX",216,144,269
"117","2015-04-27T00:00:00","TMAX",246,156,270
"118","2015-04-28T00:00:00","TMAX",192,189,269
"119","2015-04-29T00:00:00","TMAX",203,211,210
"120","2015-04-30T00:00:00","TMAX",259,133,295
"121","2015-05-01T00:00:00","TMAX",188,211,300
"122","2015-05-02T00:00:00","TMAX",221,244,264
"123","2015-05-03T00:00:00","TMAX",241,272,194
"124","2015-05-04T00:00:00","TMAX",221,267,209
"125","2015-05-05T00:00:00","TMAX",199,289,219
"126","2015-05-06T00:00:00","TMAX",208,294,215
"127","2015-05-07T00:00:00","TMAX",183,294,242
"128","2015-05-08T00:00:00","TMAX",202,283,228
"129","2015-05-09T00:00:00","TMAX",135,244,242
"130","2015-05-10T00:00:00",NA,NA,267,262
"131","2015-05-11T00:00:00","TMAX",233,222,249
"132","2015-05-12T00:00:00","TMAX",219,172,178
"133","2015-05-13T00:00:00","TMAX",184,189,245
"134","2015-05-14T00:00:00","TMAX",115,217,271
"135","2015-05-15T00:00:00",NA,NA,283,256
"136","2015-05-16T00:00:00","TMAX",135,261,262
"137","2015-05-17T00:00:00","TMAX",161,278,254
"138","2015-05-18T00:00:00","TMAX",211,278,227
"139","2015-05-19T00:00:00","TMAX",142,167,217
"140","2015-05-20T00:00:00","TMAX",183,106,224
"141","2015-05-21T00:00:00","TMAX",148,189,273
"142","2015-05-22T00:00:00","TMAX",226,250,NA
"143","2015-05-23T00:00:00","TMAX",217,267,285
"144","2015-05-24T00:00:00","TMAX",179,289,304
"145","2015-05-25T00:00:00","TMAX",201,278,310
"146","2015-05-26T00:00:00","TMAX",212,256,322
"147","2015-05-27T00:00:00","TMAX",217,267,320
"148","2015-05-28T00:00:00","TMAX",226,300,NA
"149","2015-05-29T00:00:00","TMAX",296,294,304
"150","2015-05-30T00:00:00","TMAX",265,244,240
"151","2015-05-31T00:00:00","TMAX",227,133,299
"152","2015-06-01T00:00:00","TMAX",278,200,288
"153","2015-06-02T00:00:00","TMAX",255,228,314
"154","2015-06-03T00:00:00","TMAX",238,250,289
"155","2015-06-04T00:00:00","TMAX",140,278,317
"156","2015-06-05T00:00:00","TMAX",129,294,219
"157","2015-06-06T00:00:00","TMAX",147,261,277
"158","2015-06-07T00:00:00","TMAX",161,317,298
"159","2015-06-08T00:00:00","TMAX",216,278,265
"160","2015-06-09T00:00:00","TMAX",177,300,301
"161","2015-06-10T00:00:00","TMAX",194,322,343
"162","2015-06-11T00:00:00",NA,NA,317,322
"163","2015-06-12T00:00:00","TMAX",239,306,299
"164","2015-06-13T00:00:00","TMAX",210,306,307
"165","2015-06-14T00:00:00","TMAX",232,289,292
"166","2015-06-15T00:00:00","TMAX",226,311,318
"167","2015-06-16T00:00:00","TMAX",223,272,331
"168","2015-06-17T00:00:00","TMAX",263,250,316
"169","2015-06-18T00:00:00","TMAX",255,289,300
"170","2015-06-19T00:00:00","TMAX",247,233,297
"171","2015-06-20T00:00:00","TMAX",208,278,263
"172","2015-06-21T00:00:00","TMAX",253,283,301
"173","2015-06-22T00:00:00","TMAX",223,306,319
"174","2015-06-23T00:00:00","TMAX",211,272,326
"175","2015-06-24T00:00:00","TMAX",188,239,315
"176","2015-06-25T00:00:00","TMAX",203,278,294
"177","2015-06-26T00:00:00","TMAX",259,217,236
"178","2015-06-27T00:00:00","TMAX",202,244,271
"179","2015-06-28T00:00:00","TMAX",183,250,328
"180","2015-06-29T00:00:00","TMAX",179,261,318
"181","2015-06-30T00:00:00",NA,NA,278,294
"182","2015-07-01T00:00:00","TMAX",197,244,284
"183","2015-07-02T00:00:00","TMAX",240,244,283
"184","2015-07-03T00:00:00","TMAX",234,244,267
"185","2015-07-04T00:00:00","TMAX",194,267,295
"186","2015-07-05T00:00:00","TMAX",231,283,285
"187","2015-07-06T00:00:00","TMAX",252,311,321
"188","2015-07-07T00:00:00",NA,NA,239,293
"189","2015-07-08T00:00:00","TMAX",186,217,242
"190","2015-07-09T00:00:00","TMAX",254,194,311
"191","2015-07-10T00:00:00","TMAX",270,256,327
"192","2015-07-11T00:00:00","TMAX",307,272,356
"193","2015-07-12T00:00:00","TMAX",313,300,294
"194","2015-07-13T00:00:00",NA,NA,328,246
"195","2015-07-14T00:00:00","TMAX",309,306,313
"196","2015-07-15T00:00:00",NA,NA,267,326
"197","2015-07-16T00:00:00","TMAX",206,283,261
"198","2015-07-17T00:00:00","TMAX",283,322,243
"199","2015-07-18T00:00:00","TMAX",247,328,276
"200","2015-07-19T00:00:00","TMAX",261,294,272
"201","2015-07-20T00:00:00","TMAX",274,294,305
"202","2015-07-21T00:00:00","TMAX",259,278,297
"203","2015-07-22T00:00:00","TMAX",281,278,NA
"204","2015-07-23T00:00:00","TMAX",279,283,325
"205","2015-07-24T00:00:00","TMAX",278,289,255
"206","2015-07-25T00:00:00","TMAX",254,306,255
"207","2015-07-26T00:00:00","TMAX",261,289,296
"208","2015-07-27T00:00:00","TMAX",298,300,310
"209","2015-07-28T00:00:00","TMAX",288,333,324
"210","2015-07-29T00:00:00","TMAX",287,306,270
"211","2015-07-30T00:00:00","TMAX",299,300,331
"212","2015-07-31T00:00:00","TMAX",300,311,337
"213","2015-08-01T00:00:00","TMAX",273,289,NA
"214","2015-08-02T00:00:00","TMAX",290,322,303
"215","2015-08-03T00:00:00","TMAX",278,294,314
"216","2015-08-04T00:00:00","TMAX",319,272,316
"217","2015-08-05T00:00:00","TMAX",345,283,313
"218","2015-08-06T00:00:00","TMAX",265,278,344
"219","2015-08-07T00:00:00","TMAX",282,283,359
"220","2015-08-08T00:00:00","TMAX",267,300,339
"221","2015-08-09T00:00:00","TMAX",278,283,316
"222","2015-08-10T00:00:00","TMAX",295,289,320
"223","2015-08-11T00:00:00","TMAX",267,283,316
"224","2015-08-12T00:00:00","TMAX",278,278,325
"225","2015-08-13T00:00:00","TMAX",282,289,301
"226","2015-08-14T00:00:00","TMAX",287,306,313
"227","2015-08-15T00:00:00","TMAX",254,322,324
"228","2015-08-16T00:00:00","TMAX",264,317,303
"229","2015-08-17T00:00:00","TMAX",275,311,320
"230","2015-08-18T00:00:00",NA,NA,300,327
"231","2015-08-19T00:00:00","TMAX",236,256,296
"232","2015-08-20T00:00:00","TMAX",233,250,292
"233","2015-08-21T00:00:00","TMAX",260,278,296
"234","2015-08-22T00:00:00","TMAX",277,267,299
"235","2015-08-23T00:00:00","TMAX",242,250,316
"236","2015-08-24T00:00:00","TMAX",254,244,300
"237","2015-08-25T00:00:00","TMAX",263,233,241
"238","2015-08-26T00:00:00","TMAX",217,217,266
"239","2015-08-27T00:00:00","TMAX",221,256,NA
"240","2015-08-28T00:00:00","TMAX",230,267,291
"241","2015-08-29T00:00:00","TMAX",249,272,303
"242","2015-08-30T00:00:00","TMAX",235,300,313
"243","2015-08-31T00:00:00","TMAX",250,311,308
"244","2015-09-01T00:00:00","TMAX",263,306,279
"245","2015-09-02T00:00:00",NA,NA,328,276
"246","2015-09-03T00:00:00","TMAX",270,333,284
"247","2015-09-04T00:00:00","TMAX",213,339,298
"248","2015-09-05T00:00:00","TMAX",225,322,249
"249","2015-09-06T00:00:00","TMAX",215,344,247
"250","2015-09-07T00:00:00","TMAX",246,339,269
"251","2015-09-08T00:00:00","TMAX",251,317,NA
"252","2015-09-09T00:00:00","TMAX",220,261,275
"253","2015-09-10T00:00:00","TMAX",239,289,291
"254","2015-09-11T00:00:00","TMAX",260,217,237
"255","2015-09-12T00:00:00","TMAX",233,183,231
"256","2015-09-13T00:00:00","TMAX",177,222,250
"257","2015-09-14T00:00:00","TMAX",216,272,281
"258","2015-09-15T00:00:00","TMAX",229,283,278
"259","2015-09-16T00:00:00","TMAX",240,289,264
"260","2015-09-17T00:00:00","TMAX",231,294,244
"261","2015-09-18T00:00:00","TMAX",203,278,275
"262","2015-09-19T00:00:00","TMAX",199,217,286
"263","2015-09-20T00:00:00","TMAX",219,228,286
"264","2015-09-21T00:00:00","TMAX",241,250,287
"265","2015-09-22T00:00:00","TMAX",245,272,296
"266","2015-09-23T00:00:00","TMAX",262,294,260
"267","2015-09-24T00:00:00","TMAX",235,283,289
"268","2015-09-25T00:00:00","TMAX",225,283,287
"269","2015-09-26T00:00:00","TMAX",207,267,277
"270","2015-09-27T00:00:00","TMAX",218,250,288
"271","2015-09-28T00:00:00","TMAX",187,272,265
"272","2015-09-29T00:00:00","TMAX",166,222,251
"273","2015-09-30T00:00:00","TMAX",179,206,250
"274","2015-10-01T00:00:00",NA,NA,189,188
"275","2015-10-02T00:00:00","TMAX",162,189,212
"276","2015-10-03T00:00:00","TMAX",186,150,249
"277","2015-10-04T00:00:00","TMAX",152,211,222
"278","2015-10-05T00:00:00","TMAX",154,222,252
"279","2015-10-06T00:00:00","TMAX",192,233,252
"280","2015-10-07T00:00:00","TMAX",192,267,249
"281","2015-10-08T00:00:00","TMAX",129,261,257
"282","2015-10-09T00:00:00",NA,NA,178,199
"283","2015-10-10T00:00:00","TMAX",189,211,145
"284","2015-10-11T00:00:00",NA,NA,261,124
"285","2015-10-12T00:00:00","TMAX",154,250,173
"286","2015-10-13T00:00:00","TMAX",140,194,211
"287","2015-10-14T00:00:00","TMAX",132,200,232
"288","2015-10-15T00:00:00","TMAX",144,233,252
