"","date","datatype","GHCND:JA000047412","GHCND:USC00118740","GHCND:KSM00047101"
"1","2015-01-01T00:00:00",NA,NA,-94,NA
"2","2015-01-02T00:00:00","TMIN",-92,-61,NA
"3","2015-01-03T00:00:00","TMIN",-94,0,-147
"4","2015-01-04T00:00:00",NA,NA,-133,NA
"5","2015-01-05T00:00:00","TMIN",-64,-172,-47
"6","2015-01-06T00:00:00",NA,NA,-133,NA
"7","2015-01-07T00:00:00","TMIN",-86,-217,-132
"8","2015-01-08T00:00:00","TMIN",-2,-222,-138
"9","2015-01-09T00:00:00",NA,NA,-178,-127
"10","2015-01-10T00:00:00",NA,NA,-217,-112
"11","2015-01-11T00:00:00","TMIN",-15,-50,NA
"12","2015-01-12T00:00:00",NA,NA,-117,-104
"13","2015-01-13T00:00:00",NA,NA,-150,-106
"14","2015-01-14T00:00:00","TMIN",-59,-183,-45
"15","2015-01-15T00:00:00","TMIN",-41,-128,NA
"16","2015-01-16T00:00:00",NA,NA,-61,NA
"17","2015-01-17T00:00:00",NA,NA,-11,NA
"18","2015-01-18T00:00:00",NA,NA,-33,-114
"19","2015-01-19T00:00:00","TMIN",-74,-44,NA
"20","2015-01-20T00:00:00","TMIN",-69,-17,-110
"21","2015-01-21T00:00:00","TMIN",-65,-22,-56
"22","2015-01-22T00:00:00","TMIN",-30,-6,NA
"23","2015-01-23T00:00:00",NA,NA,-44,-66
"24","2015-01-24T00:00:00",NA,NA,-39,-39
"25","2015-01-25T00:00:00","TMIN",-46,-28,-27
"26","2015-01-26T00:00:00","TMIN",-18,-50,NA
"27","2015-01-27T00:00:00",NA,NA,-72,NA
"28","2015-01-28T00:00:00","TMIN",-71,-78,-89
"29","2015-01-29T00:00:00","TMIN",-57,6,-64
"30","2015-01-30T00:00:00","TMIN",-34,-56,NA
"31","2015-01-31T00:00:00","TMIN",-30,-56,-106
"32","2015-02-01T00:00:00",NA,NA,-89,-105
"33","2015-02-02T00:00:00",NA,NA,-122,-89
"34","2015-02-03T00:00:00",NA,NA,-94,-84
"35","2015-02-04T00:00:00","TMIN",-97,-128,-78
"36","2015-02-05T00:00:00",NA,NA,-167,-70
"37","2015-02-06T00:00:00","TMIN",-101,-106,-74
"38","2015-02-07T00:00:00","TMIN",-42,-28,NA
"39","2015-02-08T00:00:00",NA,NA,0,NA
"40","2015-02-09T00:00:00",NA,NA,-33,-157
"41","2015-02-10T00:00:00","TMIN",-82,-33,-89
"42","2015-02-11T00:00:00","TMIN",-78,-61,NA
"43","2015-02-12T00:00:00",NA,NA,-122,NA
"44","2015-02-13T00:00:00","TMIN",-60,-144,-110
"45","2015-02-14T00:00:00","TMIN",-19,-156,-82
"46","2015-02-15T00:00:00","TMIN",-20,-167,-14
"47","2015-02-16T00:00:00",NA,NA,-133,NA
"48","2015-02-17T00:00:00","TMIN",-16,-139,NA
"49","2015-02-18T00:00:00",NA,NA,-172,NA
"50","2015-02-19T00:00:00",NA,NA,-200,NA
"51","2015-02-20T00:00:00",NA,NA,-194,-37
"52","2015-02-21T00:00:00","TMIN",-38,-83,11
"53","2015-02-22T00:00:00","TMIN",-9,-144,NA
"54","2015-02-23T00:00:00",NA,NA,-206,NA
"55","2015-02-24T00:00:00",NA,NA,-267,-32
"56","2015-02-25T00:00:00",NA,NA,-117,-24
"57","2015-02-26T00:00:00","TMIN",-37,-122,NA
"58","2015-02-27T00:00:00",NA,NA,-194,-54
"59","2015-02-28T00:00:00",NA,NA,-156,-43
"60","2015-03-01T00:00:00","TMIN",-45,-83,NA
"61","2015-03-02T00:00:00",NA,NA,-100,-55
"62","2015-03-03T00:00:00","TMIN",-12,-44,NA
"63","2015-03-04T00:00:00",NA,NA,-94,NA
"64","2015-03-05T00:00:00",NA,NA,-200,-83
"65","2015-03-06T00:00:00","TMIN",-23,-228,-64
"66","2015-03-07T00:00:00",NA,NA,-50,-57
"67","2015-03-08T00:00:00","TMIN",-10,-50,-32
"68","2015-03-09T00:00:00","TMIN",-1,-11,NA
"69","2015-03-10T00:00:00",NA,NA,6,-65
"70","2015-03-11T00:00:00",NA,NA,0,-72
"71","2015-03-12T00:00:00","TMIN",-8,6,-54
"72","2015-03-13T00:00:00","TMIN",-8,39,NA
"73","2015-03-14T00:00:00",NA,NA,50,-52
"74","2015-03-15T00:00:00","TMIN",-10,6,-33
"75","2015-03-16T00:00:00","TMIN",16,56,-27
"76","2015-03-17T00:00:00","TMIN",35,6,6
"77","2015-03-18T00:00:00",NA,NA,-22,NA
"78","2015-03-19T00:00:00","TMIN",6,28,33
"79","2015-03-20T00:00:00",NA,NA,22,NA
"80","2015-03-21T00:00:00","TMIN",-5,0,NA
"81","2015-03-22T00:00:00",NA,NA,6,NA
"82","2015-03-23T00:00:00",NA,NA,-17,-43
"83","2015-03-24T00:00:00","TMIN",-7,-33,NA
"84","2015-03-25T00:00:00",NA,NA,44,-39
"85","2015-03-26T00:00:00","TMIN",-9,6,-28
"86","2015-03-27T00:00:00","TMIN",24,-56,NA
"87","2015-03-28T00:00:00","TMIN",39,-83,-15
"88","2015-03-29T00:00:00","TMIN",56,-50,NA
"89","2015-03-30T00:00:00",NA,NA,11,34
"90","2015-03-31T00:00:00",NA,NA,50,64
"91","2015-04-01T00:00:00",NA,NA,28,NA
"92","2015-04-02T00:00:00","TMIN",2,100,38
"93","2015-04-03T00:00:00",NA,NA,22,NA
"94","2015-04-04T00:00:00",NA,NA,-22,65
"95","2015-04-05T00:00:00","TMIN",42,22,NA
"96","2015-04-06T00:00:00",NA,NA,83,65
"97","2015-04-07T00:00:00",NA,NA,128,NA
"98","2015-04-08T00:00:00","TMIN",-13,128,NA
"99","2015-04-09T00:00:00","TMIN",-7,106,9
"100","2015-04-10T00:00:00","TMIN",13,50,8
"101","2015-04-11T00:00:00",NA,NA,17,27
"102","2015-04-12T00:00:00",NA,NA,44,55
"103","2015-04-13T00:00:00","TMIN",22,122,NA
"104","2015-04-14T00:00:00","TMIN",35,106,NA
"105","2015-04-15T00:00:00",NA,NA,83,37
"106","2015-04-16T00:00:00","TMIN",35,111,NA
"107","2015-04-17T00:00:00",NA,NA,89,NA
"108","2015-04-18T00:00:00","TMIN",40,117,12
"109","2015-04-19T00:00:00",NA,NA,122,NA
"110","2015-04-20T00:00:00","TMIN",43,50,NA
"111","2015-04-21T00:00:00",NA,NA,22,40
"112","2015-04-22T00:00:00","TMIN",45,17,NA
"113","2015-04-23T00:00:00","TMIN",57,-6,39
"114","2015-04-24T00:00:00",NA,NA,0,NA
"115","2015-04-25T00:00:00","TMIN",63,61,52
"116","2015-04-26T00:00:00","TMIN",88,33,62
"117","2015-04-27T00:00:00",NA,NA,44,NA
"118","2015-04-28T00:00:00","TMIN",95,39,77
"119","2015-04-29T00:00:00",NA,NA,50,NA
"120","2015-04-30T00:00:00","TMIN",82,44,123
